Species,Year,Season,Mean mimosa RRA,SEM Mimosa RRA,Mimosa FOO,Number of samples
Waterbuck,2013,early dry,0.394033333,0.04860809,0.8,50
Waterbuck,2015,early dry,0.331408333,0.033239899,0.9375,80
Waterbuck,2016,early dry,0.362784314,0.084072107,0.823529412,17
Waterbuck,2017,early dry,0.246729167,0.066045307,0.8125,16
Waterbuck,2018,early dry,0.159577778,0.054935802,0.6,15
Warthog,2013,early dry,0.013444444,0.005316793,0.366666667,30
Warthog,2015,early dry,0.003631579,0.002225567,0.157894737,19
Warthog,2016,early dry,0.0038,0.0038,0.2,5
Warthog,2017,early dry,0.016787879,0.0159405,0.181818182,11
Warthog,2018,early dry,0.022955556,0.008299542,0.6,15
Reedbuck,2015,early dry,0.185541667,0.053099791,0.875,16
Reedbuck,2016,early dry,0.462904762,0.135919438,0.857142857,7
Reedbuck,2017,early dry,0.296,0.086345887,0.636363636,11
Reedbuck,2018,early dry,0.201285714,0.076065583,0.928571429,14
Impala,2015,early dry,0.592962963,0.121587664,1,9
Impala,2016,early dry,0.557833333,0.130313267,1,8
Impala,2017,early dry,0.281692308,0.068337726,0.769230769,13
Impala,2018,early dry,0.222288889,0.066029686,0.8,15
Oribi,2015,early dry,0.351333333,0.124113568,1,5
Oribi,2016,early dry,0.353111111,0.107921868,0.888888889,9
Oribi,2017,early dry,0.361138889,0.117984922,0.833333333,12
Oribi,2018,early dry,0.266422222,0.088637682,0.733333333,15
Buffalo,2015,early dry,0.409740741,0.031844755,0.962962963,27
Impala,2017,late dry,0.149,0.149,0.25,4
Impala,2018,late dry,0.086833333,0.055443582,0.5,6
Oribi,2017,late dry,0.210208333,0.113107196,0.625,8
Oribi,2018,late dry,0.723888889,0.15034722,0.8333333,6
Reedbuck,2017,late dry,0.191,NA,1,1
Reedbuck,2018,late dry,0.181833333,0.181833333,0.25,4
Warthog,2017,late dry,0,0,0,5
Warthog,2018,late dry,0.008066667,0.008066667,0.2,5
Waterbuck,2017,late dry,0.309,0.165246012,0.8,5
Waterbuck,2018,late dry,0.236444444,0.098060891,0.8333333,6